Surface form	Link
China	http://dbpedia.org/resource/China
China Eastern	http://dbpedia.org/resource/China_Eastern_Airlines
China Eastern Airlines	http://dbpedia.org/resource/China_Eastern_Airlines
China Eastern Airlines	http://dbpedia.org/resource/China_Eastern_Airlines
China Eastern Airlines	http://dbpedia.org/resource/China_Eastern_Airlines
China Eastern board of directors	NILL
China Southern Airlines	http://dbpedia.org/resource/China_Southern_Airlines
Chinese	http://dbpedia.org/resource/China
Chinese airlines	NILL
Chinese markets	NILL
Chris Weafer	NILL
Chrylser	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler	http://dbpedia.org/resource/Chrysler
Chrysler , another U.S. car maker	http://dbpedia.org/resource/Chrysler
Chrysler , which had just exited bankruptcy	http://dbpedia.org/resource/Chrysler
Chrysler Chief Executive	http://dbpedia.org/resource/Robert_Nardelli
Chrysler Chief Executive Robert Nardelli	http://dbpedia.org/resource/Robert_Nardelli
Chrysler Group	http://dbpedia.org/resource/Chrysler
Chrysler LLC	http://dbpedia.org/resource/Chrysler
Chrysler LLC	http://dbpedia.org/resource/Chrysler
Cisco	http://dbpedia.org/resource/Cisco
Cisco	http://dbpedia.org/resource/Cisco
Cisco	http://dbpedia.org/resource/Cisco
closing price	NILL
co-founder	http://dbpedia.org/resource/Steve_Jobs 
commercial leasing rights	NILL
company	http://dbpedia.org/resource/Apple_Inc.
company	http://dbpedia.org/resource/Apple_Inc.
company	http://dbpedia.org/resource/Apple_Inc.
company	http://dbpedia.org/resource/Apple_Inc.
company	http://dbpedia.org/resource/Chrysler
company CEO	http://dbpedia.org/resource/Steve_Jobs 
company CEO	http://dbpedia.org/resource/Steve_Jobs 
company CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
company CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
computer and electronics maker	http://dbpedia.org/resource/Apple_Inc.
computer and electronics maker Apple Computer	http://dbpedia.org/resource/Apple_Inc.
confidential documents from engine maker Europrop	NILL
Congressional lawmakers	NILL
consumer	http://dbpedia.org/resource/Consumer
consumers	NILL
contract	NILL
conventional materials	NILL
Craiova-based	http://dbpedia.org/resource/Craiova
credit costs	NILL
Cupertino , California	http://dbpedia.org/resource/Cupertino,_California
customer service line	NILL
customers	NILL
Daewoo Motors	http://dbpedia.org/resource/Daewoo
DaimlerChrysler	http://dbpedia.org/resource/Daimler_AG
DaimlerChrysler	http://dbpedia.org/resource/Daimler_AG
DaimlerChrysler	http://dbpedia.org/resource/Daimler_AG
DaimlerChrysler	http://dbpedia.org/resource/Daimler_AG
Dana Perino	http://dbpedia.org/resource/Dana_Perino
Darwin	http://dbpedia.org/resource/Darwin_(operating_system)
data	NILL
dealerships	NILL
dealerships whose franchises wo n't be renewed after October of next year	NILL
debt	NILL
debt	NILL
debt	NILL
Delta Program business units	NILL
Detik.com	http://dbpedia.org/resource/DetikCom
Detroit	http://dbpedia.org/resource/Detroit
Developers	NILL
developers	NILL
devices	http://dbpedia.org/resource/IPhone
different airlines	NILL
different news agencies	NILL
digital music	NILL
digital music tracks	NILL
Djamal	http://dbpedia.org/resource/Jusman_Syafii_Djamal
DJIA	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
DJIA	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
domestic passenger routes	NILL
domestically	http://dbpedia.org/resource/United_States
Douglas	http://dbpedia.org/resource/McDonnell_Aircraft
Douglas Aircraft	http://dbpedia.org/resource/Douglas_Aircraft_Company
Dow	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Dow Jones	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Dow Jones	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Dow Jones Industrial Average	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
downtown San Jose , California	http://dbpedia.org/resource/San_Jose,_California
Dreamliners	http://dbpedia.org/resource/Boeing_787_Dreamliner
Dubai	http://dbpedia.org/resource/Dubai
Durango	http://dbpedia.org/resource/Ford_Durango
e-mail client	Mail_(OS_X)
e-mail client Mail	Mail_(OS_X)
e-mail client Mail , web browser Safari , and multi-person audio / video / text messaging client iChat	NILL
each other	NILL
EADS	http://dbpedia.org/resource/Airbus_Group
EADS North America	http://dbpedia.org/resource/Airbus_Group
EADS-led	http://dbpedia.org/resource/Airbus_Group
early retirement	NILL
Earth	http://dbpedia.org/resource/Earth
eight long-haul A330s	NILL
either 15 '' or 17 '' displays	NILL
email	NILL
emails	NILL
Emails exchanged among United States Air Force officials regarding a USD$ 23 billion dollar deal with aircraft manufacturer Boeing	NILL
emerging Chrysler	NILL
employees	NILL
employees	NILL
Engine	NILL
Entirely new features	NILL
EU	http://dbpedia.org/resource/European_Union
Europe	http://dbpedia.org/resource/Europe
Europe	http://dbpedia.org/resource/Europe
Europe	NILL
Europe	NILL
Europe	http://dbpedia.org/resource/Europe
Europe 's biggest aircraft manufacturer	http://dbpedia.org/resource/Airbus
European	http://dbpedia.org/resource/Europe
European	http://dbpedia.org/resource/Europe
European	http://dbpedia.org/resource/Europe
European	http://dbpedia.org/resource/Europe
European	http://dbpedia.org/resource/Europe
European Aeronautic Defence & Space NV ( EADS	http://dbpedia.org/resource/Airbus_Group
European aircraft	NILL
European aircraft manufacturer , Airbus	http://dbpedia.org/resource/Airbus
European airframer Airbus	http://dbpedia.org/resource/Airbus
European auto maker Fiat	http://dbpedia.org/resource/Fiat
European Central Bank	http://dbpedia.org/resource/European_Central_Bank
European governments	NILL
European manufacturers , such as Airbus	NILL
Everett , Washington	http://dbpedia.org/resource/Everett,_Washington
Every stock in the Dow Jones	NILL
everyone	NILL
Executives from several auto firms	NILL
existing Lockheed Tristar and Vickers VC-10 aircraft	NILL
feature-length movies	NILL
Features new to the iPhone	NILL
federal	http://dbpedia.org/resource/United_States
federal	http://dbpedia.org/resource/Australia
federal aid	NILL
federal government	http://dbpedia.org/resource/Australia
federal industry minister	http://dbpedia.org/resource/Ian_Macdonald_(New_South_Wales_politician)
federal industry minister Ian MacDonald	http://dbpedia.org/resource/Ian_Macdonald_(New_South_Wales_politician)
federal law	NILL
Fiat	http://dbpedia.org/resource/Fiat
Fiat	http://dbpedia.org/resource/Fiat
Fiat	http://dbpedia.org/resource/Fiat
Fiat	http://dbpedia.org/resource/Fiat
Fiat	http://dbpedia.org/resource/Fiat
Fiat	http://dbpedia.org/resource/Fiat
Fiat	http://dbpedia.org/resource/Fiat
Fiat Group SpA	http://dbpedia.org/resource/Fiat
film studios	http://dbpedia.org/resource/Film_studio
films	NILL
final 717	NILL
financial institutions	http://dbpedia.org/resource/Financial_institution
First A380	NILL
First Airbus A380	NILL
five Boeing 737s	NILL
flash memory	http://dbpedia.org/resource/Flash_memory
Force	http://dbpedia.org/resource/United_States_Air_Force
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford	http://dbpedia.org/resource/Ford
Ford 's Chief Executive Officer	http://dbpedia.org/resource/William_Clay_Ford,_Jr.
Ford 's Chief Executive Officer , William Clay Ford Jr.	http://dbpedia.org/resource/William_Clay_Ford,_Jr.
Ford 's next model Falcon	http://dbpedia.org/resource/Ford_Falcon
Ford 's next model Falcon and Territory vehicles	NILL
Ford 's North American workforce of 122,000 people	NILL
Ford Australia	http://dbpedia.org/resource/Ford_Motor_Company_of_Australia
Ford Motor Company	http://dbpedia.org/resource/Ford
Ford Motor Company	http://dbpedia.org/resource/Ford
Ford Motor Company	http://dbpedia.org/resource/Ford
Ford Motor Company	http://dbpedia.org/resource/Ford
Ford Motor Company	http://dbpedia.org/resource/Ford
Ford Motor Company	http://dbpedia.org/resource/Ford
Ford Motor Company CEO	http://dbpedia.org/resource/Alan_Mulally
Ford Motors	http://dbpedia.org/resource/Ford
Ford Motors Co.	http://dbpedia.org/resource/Ford
Ford Taurus	http://dbpedia.org/resource/Ford_Taurus
foreign markets	http://dbpedia.org/resource/Stock_market
former chief executive officer of Apple Inc.	http://dbpedia.org/resource/Steve_Jobs 
founder of Apple	http://dbpedia.org/resource/Steve_Jobs 
four Rolls-Royce Trent 900 engines	NILL
France	http://dbpedia.org/resource/France
France	http://dbpedia.org/resource/France
France	http://dbpedia.org/resource/France
France	http://dbpedia.org/resource/France
France	http://dbpedia.org/resource/France
Frankfurt	http://dbpedia.org/resource/Frankfurt
Frankfurt	http://dbpedia.org/resource/Frankfurt
Frankfurt	http://dbpedia.org/resource/Frankfurt
Frankfurt 's DAX 30 indices	http://dbpedia.org/resource/DAX
free cases	NILL
Fritz Henderson	http://dbpedia.org/resource/Frederick_Henderson
FTSE index	http://dbpedia.org/resource/FTSE_100_Index
full-length feature films	NILL
funds	http://dbpedia.org/resource/Money
future Apple Macintosh computers	http://dbpedia.org/resource/Macintosh
Garuda Indonesia	Garuda_Indonesia
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors	http://dbpedia.org/resource/General_Motors
General Motors , which filed for bankruptcy and Chapter 11 protection from its creditors earlier today	http://dbpedia.org/resource/General_Motors
General Motors ( GM	http://dbpedia.org/resource/General_Motors
General Motors ( GM	http://dbpedia.org/resource/General_Motors
General Motors ( GM	http://dbpedia.org/resource/General_Motors
General Motors ( GM ) and Chrysler	NILL
General Motors ( GM ) and Chrysler	NILL
General Motors Corporation	http://dbpedia.org/resource/General_Motors
General Motors Corporation	http://dbpedia.org/resource/General_Motors
General Motors Corporation	http://dbpedia.org/resource/General_Motors
General Motors Corporation ( GM	http://dbpedia.org/resource/General_Motors
General Motors logo	NILL
German airline Lufthansa	http://dbpedia.org/resource/Lufthansa
German magazine Der Spiegel	http://dbpedia.org/resource/Der_Spiegel
Germany	http://dbpedia.org/resource/Germany
Germany	http://dbpedia.org/resource/Germany
Gizmodo	http://dbpedia.org/resource/Gizmodo
Global markets	http://dbpedia.org/resource/Stock_market
Global markets	http://dbpedia.org/resource/Stock_market
global markets	http://dbpedia.org/resource/Stock_market
global markets	http://dbpedia.org/resource/Stock_market
Global stock markets	http://dbpedia.org/resource/Stock_market
Global stock markets	http://dbpedia.org/resource/Stock_market
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM	http://dbpedia.org/resource/General_Motors
GM , Chrysler	NILL
GM 's package	NILL
GM 's US$ 27 billion debt	NILL
GM and Chrysler	NILL
GM and Chrysler	NILL
GM Europe	http://dbpedia.org/resource/GM_Europe
government	http://dbpedia.org/resource/United_States
government	http://dbpedia.org/resource/United_States
government	http://dbpedia.org/resource/Government
government	http://dbpedia.org/resource/Japan
Government Accountability Office	http://dbpedia.org/resource/Government_Accountability_Office
government officials	NILL
governments	http://dbpedia.org/resource/Government
Hainan Airlines	http://dbpedia.org/resource/Hainan_Airlines
he	http://dbpedia.org/resource/No%C3%ABl_Forgeard
He	http://dbpedia.org/resource/Lee_Hsien_Loong
He	http://dbpedia.org/resource/Steve_Jobs 
he	http://dbpedia.org/resource/Steve_Jobs 
he	http://dbpedia.org/resource/Mark_Papermaster
He	http://dbpedia.org/resource/Steve_Jobs 
he	http://dbpedia.org/resource/Steve_Jobs 
he	http://dbpedia.org/resource/Steve_Jobs 
He	http://dbpedia.org/resource/Steve_Jobs 
he	NILL
he	http://dbpedia.org/resource/Barack_Obama
he	http://dbpedia.org/resource/Barack_Obama
He	http://dbpedia.org/resource/Barack_Obama
he	http://dbpedia.org/resource/Barack_Obama
he	http://dbpedia.org/resource/Frederick_Henderson
he	http://dbpedia.org/resource/Frederick_Henderson
he	http://dbpedia.org/resource/Frederick_Henderson
he	http://dbpedia.org/resource/Frederick_Henderson
He	http://dbpedia.org/resource/John_F._Smith,_Jr.
He	http://dbpedia.org/resource/Ben_Bernanke
head of the State Property Agency ( AVAS	http://dbpedia.org/resource/Sebastian_Vladescu
healthcare	NILL
Heathrow airport	http://dbpedia.org/resource/London_Heathrow_Airport
Henderson	http://dbpedia.org/resource/Frederick_Henderson
Henderson	http://dbpedia.org/resource/Frederick_Henderson
his	http://dbpedia.org/resource/Michael_O%27Leary_(businessman)
his	http://dbpedia.org/resource/Vladimir_Putin
his	http://dbpedia.org/resource/Lee_Hsien_Loong
his	http://dbpedia.org/resource/Steve_Jobs 
his	http://dbpedia.org/resource/Mark_Papermaster
his	http://dbpedia.org/resource/Steve_Jobs 
his	http://dbpedia.org/resource/Steve_Jobs 
his	http://dbpedia.org/resource/Barack_Obama
his	http://dbpedia.org/resource/Barack_Obama
His	http://dbpedia.org/resource/Barack_Obama
his country	http://dbpedia.org/resource/Russia
Hong Kong	http://dbpedia.org/resource/Hong_Kong
I	http://dbpedia.org/resource/Steve_Jobs 
I	http://dbpedia.org/resource/Steve_Jobs 
I	http://dbpedia.org/resource/Steve_Jobs 
I	http://dbpedia.org/resource/George_Mann_(judge)
Ian MacDonald	http://dbpedia.org/resource/Ian_Macdonald_(New_South_Wales_politician)
iBook	http://dbpedia.org/resource/IBook
iChat	http://dbpedia.org/resource/IChat
iCloud	http://dbpedia.org/resource/ICloud
iLife	http://dbpedia.org/resource/ILife
iLife '11 software suite	NILL
India	http://dbpedia.org/resource/India
India , China , Britain , France , Germany and Canada	NILL
Indonesia	http://dbpedia.org/resource/Indonesia
Indonesia	http://dbpedia.org/resource/Indonesia
Indonesia	http://dbpedia.org/resource/Indonesia
Indonesia 's transport minister	http://dbpedia.org/resource/Jusman_Syafii_Djamal
Indonesian	http://dbpedia.org/resource/Indonesia
INDU	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
industry experts	no er
institutions	NILL
Intel	http://dbpedia.org/resource/Intel
Intel	http://dbpedia.org/resource/Intel
Intel	http://dbpedia.org/resource/Intel
Intel Core Duo processors	NILL
Intel Core Duo processors and a host of features	NILL
Intel processors	http://dbpedia.org/resource/List_of_Intel_microprocessors
Intel processors	http://dbpedia.org/resource/List_of_Intel_microprocessors
Intel-based	http://dbpedia.org/resource/List_of_Intel_microprocessors
International car company	http://dbpedia.org/resource/Daimler_AG
International car company DaimlerChrysler	http://dbpedia.org/resource/Daimler_AG
internet access	NILL
internet access	NILL
internet publication software	NILL
investors	http://dbpedia.org/resource/Investor
iOS 4	http://dbpedia.org/resource/IOS_4
iOS 5	http://dbpedia.org/resource/IOS_5
iOS 5	http://dbpedia.org/resource/IOS_5
iOS 5 , a new version of the operating system that powers iPhones , iPod Touches , and iPads	http://dbpedia.org/resource/IOS_5
iPhone	NILL
iPhone	http://dbpedia.org/resource/IPhone
iPhone	http://dbpedia.org/resource/IPhone
iPhone	http://dbpedia.org/resource/IPhone
iPhone	http://dbpedia.org/resource/IPhone
iPhone 4	NILL
iPhone 4	NILL
iPhone 4	NILL
iPhone 4	NILL
iPhone 4	NILL
iPhone 4	NILL
iPhone 4	NILL
iPhone 4 , along with the new iOS 4 operating system for Apple mobile devices	NILL
iPhone 4 , iOS 4	NILL
iPhone 4 antenna	NILL
iPhone 4 owners	NILL
iPhone and Apple TV	NILL
iPhone Developer Program	NILL
iPhone device	http://dbpedia.org/resource/IPhone
iPhone owners	NILL
iPhone SDK	http://dbpedia.org/resource/IOS_SDK
iPhone trademark	NILL
iPod	http://dbpedia.org/resource/IPod
iPod	http://dbpedia.org/resource/IPod
iPod	http://dbpedia.org/resource/IPod
iPod	http://dbpedia.org/resource/IPod
iPod nano	http://dbpedia.org/resource/IPod_Nano
iPod nano	http://dbpedia.org/resource/IPod_Nano
iPod nano and iTunes phone	NILL
iPod Software 1.1.1	NILL
iPod users	NILL
iPod volume	NILL
Irish low cost airline , Ryanair	http://dbpedia.org/resource/Ryanair
Irish national airline Aer Lingus	http://dbpedia.org/resource/Aer_Lingus
It	NILL
it	http://dbpedia.org/resource/Ryanair
it	http://dbpedia.org/resource/Ryanair
it	http://dbpedia.org/resource/Qatar_Airways
it	http://dbpedia.org/resource/China_Eastern_Airlines
it	http://dbpedia.org/resource/Airbus_A380
it	http://dbpedia.org/resource/Boeing_787_Dreamliner
it	http://dbpedia.org/resource/Boeing_787_Dreamliner
It	NILL
it	http://dbpedia.org/resource/Boeing_777
it	http://dbpedia.org/resource/Boeing_777
it	http://dbpedia.org/resource/Boeing_777
it	NILL
it	http://dbpedia.org/resource/Singapore_Airlines
it	http://dbpedia.org/resource/Airbus_A380
it	http://dbpedia.org/resource/Aer_Lingus
it	http://dbpedia.org/resource/Aer_Lingus
it	http://dbpedia.org/resource/Aer_Lingus
it	http://dbpedia.org/resource/Aer_Lingus
it	NILL
it	http://dbpedia.org/resource/Airbus_A380
it	http://dbpedia.org/resource/Airbus_A380
it	NILL
it	http://dbpedia.org/resource/Apple_Inc.
it	http://dbpedia.org/resource/Apple_Inc.
it	http://dbpedia.org/resource/Apple_Inc.
it	http://dbpedia.org/resource/Apple_Inc.
it	http://dbpedia.org/resource/ITunes_Store
It	http://dbpedia.org/resource/MacBook_family
It	http://dbpedia.org/resource/MacBook_family
it	http://dbpedia.org/resource/IPhone
It	http://dbpedia.org/resource/IPhone
it	http://dbpedia.org/resource/Apple_Inc.
it	http://dbpedia.org/resource/Apple_Inc.
it	http://dbpedia.org/resource/United_States
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/Chrysler
it	http://dbpedia.org/resource/Chrysler
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/Chrysler
it	http://dbpedia.org/resource/Chrysler
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/United_States
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/Ford
it	http://dbpedia.org/resource/Ford
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/Ford
it	http://dbpedia.org/resource/Fiat
it	http://dbpedia.org/resource/Fiat
it	http://dbpedia.org/resource/General_Motors
it	http://dbpedia.org/resource/Ford
it	http://dbpedia.org/resource/Daimler_AG
It	http://dbpedia.org/resource/Daimler_AG
It	http://dbpedia.org/resource/Daimler_AG
it	http://dbpedia.org/resource/Chrysler
it	http://dbpedia.org/resource/United_States
It	http://dbpedia.org/resource/FTSE_100_Index
it	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
it	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
it	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
It	http://dbpedia.org/resource/FTSE_100_Index
it	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
It	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
it	http://dbpedia.org/resource/Bank_of_America
it 's long-haul fleet	NILL
it 's transatlantic network	NILL
Italian	http://dbpedia.org/resource/Italy
its	http://dbpedia.org/resource/Ryanair
its	http://dbpedia.org/resource/Airbus
its	http://dbpedia.org/resource/Boeing_787_Dreamliner
its	http://dbpedia.org/resource/Airbus
its	http://dbpedia.org/resource/Airbus_A400M_Atlas
its	http://dbpedia.org/resource/Airbus_A400M_Atlas
its	http://dbpedia.org/resource/Airbus_A380
its	http://dbpedia.org/resource/McDonnell_Douglas_DC-9
its	http://dbpedia.org/resource/Boeing_777
its	http://dbpedia.org/resource/Boeing
its	http://dbpedia.org/resource/Airbus
its	http://dbpedia.org/resource/Singapore_Airlines
its	http://dbpedia.org/resource/Airbus_A380
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/ITunes_Store
its	http://dbpedia.org/resource/ITunes_Store
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/ILife
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Corps
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/IPhone
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/IPod_Nano
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Apple_Inc.
its	http://dbpedia.org/resource/Spotlight_(software)
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/Chrysler
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/Chrysler
its	http://dbpedia.org/resource/Chrysler
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/Germany
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/Saturn_Corporation
its	http://dbpedia.org/resource/Saturn_Corporation
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/Ford
its	http://dbpedia.org/resource/Ford
its	http://dbpedia.org/resource/Ford
its	http://dbpedia.org/resource/Fiat
its	http://dbpedia.org/resource/Fiat
its	http://dbpedia.org/resource/General_Motors
its	http://dbpedia.org/resource/Ford
its	http://dbpedia.org/resource/Ford
its	http://dbpedia.org/resource/Daimler_AG
its	http://dbpedia.org/resource/Russia
its	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
its	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
its	http://dbpedia.org/resource/S&P_500
its	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
its	NILL
its	http://dbpedia.org/resource/FTSE_100_Index
its	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
its	http://dbpedia.org/resource/Hang_Seng_Index
its 3,200 dealers	NILL
its Airbus A400M military transplort plane	http://dbpedia.org/resource/Airbus_A400M_Atlas
its algorithm	NILL
its creditors	NILL
its creditors	NILL
its creditors	NILL
its Cupertino headquarters	NILL
its dealership network	NILL
its divisions	NILL
its engines	NILL
its European division	http://dbpedia.org/resource/Opel
its expenditures	NILL
its features	NILL
its five current models	NILL
its high-end graphics , video , and sound tools	NILL
its iOS mobile operating system	http://dbpedia.org/resource/IOS
its iPod	http://dbpedia.org/resource/IPod
its iPod portable music players	http://dbpedia.org/resource/IPod
its iTunes music service	http://dbpedia.org/resource/ITunes_Store
its latest addition to the iPod line	http://dbpedia.org/resource/IPod_Nano
its latest addition to the iPod line , the iPod nano	http://dbpedia.org/resource/IPod_Nano
its latest iteration of their popular iPhone	NILL
its latest iteration of their popular iPhone , the iPhone 3GS.	NILL
its name	NILL
its name and logo	NILL
its new iPhone 4	NILL
its new superjumbo A380 's	http://dbpedia.org/resource/Airbus_A380
its parent company	http://dbpedia.org/resource/Airbus_Group
its parent company , EADS	http://dbpedia.org/resource/Airbus_Group
its prices for media	NILL
its profits	NILL
its profits	NILL
its public appearances	NILL
its share of the total US car market	NILL
its stake in Chrysler	NILL
itself	http://dbpedia.org/resource/Daimler_AG
iTunes	http://dbpedia.org/resource/ITunes_Store
iTunes	http://dbpedia.org/resource/ITunes_Store
iTunes Music Store	http://dbpedia.org/resource/ITunes_Store
iTunes Music Store	http://dbpedia.org/resource/ITunes_Store
iTunes Music Store , a online music store	http://dbpedia.org/resource/ITunes_Store
iTunes phone	NILL
iTunes store	http://dbpedia.org/resource/ITunes_Store
iTunes Store	http://dbpedia.org/resource/ITunes_Store
iTunes store , Apple 's online media shop	http://dbpedia.org/resource/ITunes_Store
Japan	http://dbpedia.org/resource/Japan
